"Période du ",,8/1/14,"au",,,10/31/14,,,,,,,,,,
,"Catégorie objets","Déposés",,,,"Restitués Perdants",,,"Taux",,,"Restitués Inventeurs",,,"Taux",
"AUTRES AUDIO","High Tech, vidéo, musique",0,22,22,0.0463870791,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES BIJOU DE COU","Accessoires",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES BIJOU DE MAIN","Accessoires",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES COUVRE-CHEF","Accessoires",0,24,24,0.0506040863,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES DEVISE","Portefeuilles et clés",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES LINGE DE MAISON","Autres",0,6,6,0.0126510216,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES MANTEAU","Vêtements",0,28,28,0.0590381007,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES PHOTOS","Autres",0,7,7,0.0147595252,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES TELEPHONIE","High Tech, vidéo, musique",0,10,10,0.0210850359,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES VETEMENT DE SPORT","Vêtements",0,18,18,0.0379530647,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"AUTRES VIDEO","High Tech, vidéo, musique",0,2,2,0.0042170072,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"BALADEUR (CD / CASSETTE)","High Tech, vidéo, musique",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"BATTERIE","High Tech, vidéo, musique",0,4,4,0.0084340144,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"BD","Autres",1,6,7,0.0147595252,0,0,0,0.00%,0.00%,0.00%,0,0,,0.00%,0.00%
"BERET","Accessoires",0,12,12,0.0253020431,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"BONNET / CAGOULE","Accessoires",0,50,50,0.1054251797,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"BOUCLE D'OREILLE","Accessoires",0,85,85,0.1792228056,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"BOUTON DE MANCHETTE","Accessoires",0,3,3,0.0063255108,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"BROCHE / PIN / MÉDAILLE","Accessoires",0,14,14,0.0295190503,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CABRIOLET","Accessoires",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CAHIER / CAHIER DE TEXTE","Autres",14,14,28,0.0590381007,0,0,0,0.00%,0.00%,0.00%,0,0,,0.00%,0.00%
"CALCULATRICE","Autres",0,7,7,0.0147595252,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CANNE A PÊCHE","Autres",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CARTE AMETHYSTE","Cartes et documents",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CARTE EMERAUDE","Cartes et documents",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CARTE INTEGRALE","Cartes et documents",0,24,24,0.0506040863,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CARTE ORANGE","Cartes et documents",0,13,13,0.0274105467,0,0,0,,0.00%,0.00%,0,0,,,0.00%
"CARTOUCHE D'ENCRE / TONER","High Tech, vidéo, musique",0,1,1,0.0021085036,0,0,0,,0.00%,0.00%,0,0,,,0.00%
